,origem,destino,distance,STEPS_Status.FULL_JUMP,STEPS_Status.SINGLE_JUMP,STEPS_Status.SEQUENTIAL
3363,296,105,-191,53,795,810
3364,842,373,-469,36,517,532
3365,946,721,-225,52,761,776
3366,694,497,-197,53,789,804
3367,544,596,52,5,38,53
3368,128,144,16,2,2,17
3369,935,805,-130,57,856,871
3370,853,963,110,10,96,111
3371,983,924,-59,62,927,942
3372,990,650,-340,43,646,661
3373,422,727,305,21,291,306
3374,703,814,111,11,97,112
3375,274,153,-121,59,865,880
3376,445,912,467,32,453,468
3377,488,626,138,11,124,139
3378,777,328,-449,38,537,552
3379,91,774,683,46,669,684
3380,236,985,749,50,735,750
3381,523,766,243,18,229,244
3382,817,978,161,12,147,162
